"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"Foolish Wives","1922",1922-01-11,"Not Rated","117 min","Drama, Thriller","Erich von Stroheim","English, Latin, French","United States",7,3915,"tt0013140","N/A"
"Dr. Mabuse, the Gambler","1922",1922-09-30,"Not Rated","242 min","Crime, Mystery, Thriller","Fritz Lang","German, English, French","Germany",7.8,8965,"tt0013086","N/A"
"Dr. Mabuse, the Gambler","1922",1922-09-30,"Not Rated","242 min","Crime, Mystery, Thriller","Fritz Lang","German, English, French","Germany",7.8,8965,"tt0013086","N/A"
"Safety Last!","1923",1923-04-01,"Not Rated","74 min","Action, Comedy, Thriller","Fred C. Newmeyer, Sam Taylor","English","United States",8.1,22225,"tt0014429","N/A"
"Safety Last!","1923",1923-04-01,"Not Rated","74 min","Action, Comedy, Thriller","Fred C. Newmeyer, Sam Taylor","English","United States",8.1,22225,"tt0014429","N/A"
"Why Worry?","1923",1923-09-09,"TV-G","63 min","Adventure, Comedy, Family","Fred C. Newmeyer, Sam Taylor","None, English","United States",7.3,1989,"tt0014611","N/A"
"The Silent Command","1923",1923-08-19,"N/A","80 min","Drama","J. Gordon Edwards","None, English","United States",6,100,"tt0014469","N/A"
"The Smiling Madame Beudet","1923",1923-11-09,"N/A","26 min","Short, Drama","Germaine Dulac","None","France",6.6,2822,"tt0013626","N/A"
"Our Hospitality","1923",1923-12-13,"Passed","65 min","Comedy, Romance, Thriller","John G. Blystone, Buster Keaton","None, English","United States",7.8,12197,"tt0014341","$1,172,499"
"Our Hospitality","1923",1923-12-13,"Passed","65 min","Comedy, Romance, Thriller","John G. Blystone, Buster Keaton","None, English","United States",7.8,12197,"tt0014341","$1,172,499"
"A Woman of Paris: A Drama of Fate","1923",1923-11-04,"Passed","82 min","Drama, Romance","Charles Chaplin","English","United States",6.9,5945,"tt0014624","N/A"
"A Woman of Paris: A Drama of Fate","1923",1923-11-04,"Passed","82 min","Drama, Romance","Charles Chaplin","English","United States",6.9,5945,"tt0014624","N/A"
"Die Nibelungen: Siegfried","1924",1924-10-06,"Not Rated","100 min","Adventure, Drama, Fantasy","Fritz Lang","German","Germany",8.1,6351,"tt0015175","N/A"
"Die Nibelungen: Siegfried","1924",1924-10-06,"Not Rated","100 min","Adventure, Drama, Fantasy","Fritz Lang","German","Germany",8.1,6351,"tt0015175","N/A"
"Die Nibelungen: Kriemhild's Revenge","1924",1924-04-26,"Not Rated","129 min","Adventure, Drama, Fantasy","Fritz Lang","German","Germany",7.9,4819,"tt0015174","N/A"
"Die Nibelungen: Kriemhild's Revenge","1924",1924-04-26,"Not Rated","129 min","Adventure, Drama, Fantasy","Fritz Lang","German","Germany",7.9,4819,"tt0015174","N/A"
"The Thief of Bagdad","1924",1924-04-11,"Not Rated","155 min","Adventure, Family, Fantasy","Raoul Walsh","English","United States",7.7,6762,"tt0015400","N/A"
"The Thief of Bagdad","1924",1924-04-11,"Not Rated","155 min","Adventure, Family, Fantasy","Raoul Walsh","English","United States",7.7,6762,"tt0015400","N/A"
"Wild Oranges","1924",1924-01-20,"Passed","88 min","Drama, Romance","King Vidor","None, English","United States",6.7,541,"tt0015498","N/A"
"The Navigator","1924",1924-10-13,"Unrated","59 min","Action, Comedy, Romance","Donald Crisp, Buster Keaton","English","United States",7.6,10766,"tt0015163","N/A"
"The Navigator","1924",1924-10-13,"Unrated","59 min","Action, Comedy, Romance","Donald Crisp, Buster Keaton","English","United States",7.6,10766,"tt0015163","N/A"
"Sherlock Jr.","1924",1924-05-11,"Passed","45 min","Action, Comedy, Romance","Buster Keaton","None, English","United States",8.2,54537,"tt0015324","$977,375"
"Sherlock Jr.","1924",1924-05-11,"Passed","45 min","Action, Comedy, Romance","Buster Keaton","None, English","United States",8.2,54537,"tt0015324","$977,375"
"Girl Shy","1924",1924-04-20,"Not Rated","87 min","Comedy, Romance","Fred C. Newmeyer, Sam Taylor","English","United States",7.7,3568,"tt0014945","N/A"
"Manhandled","1924",1924-07-22,"Passed","75 min","Comedy, Drama","Allan Dwan","None, English","United States",6.7,1119,"tt0015116","N/A"
"The Great White Silence","1922",1924-05-01,"N/A","80 min","Documentary","Herbert G. Ponting","English","United Kingdom",8,1538,"tt1764657","N/A"
"Help!","1924",1924-06-17,"N/A","18 min","Short, Comedy, Horror","Abel Gance","None, French","France",6.8,458,"tt0013845","N/A"
"Greed","1924",1925-01-26,"Not Rated","140 min","Drama, Thriller, Western","Erich von Stroheim","None, English","United States",8,10524,"tt0015881","N/A"
"Greed","1924",1925-01-26,"Not Rated","140 min","Drama, Thriller, Western","Erich von Stroheim","None, English","United States",8,10524,"tt0015881","N/A"
"The Phantom of the Opera","1925",1925-11-15,"Passed","93 min","Horror","Rupert Julian, Lon Chaney, Ernst Laemmle","English","United States",7.5,19696,"tt0016220","$3,751,476"
"The Phantom of the Opera","1925",1925-11-15,"Passed","93 min","Horror","Rupert Julian, Lon Chaney, Ernst Laemmle","English","United States",7.5,19696,"tt0016220","$3,751,476"
"Battleship Potemkin","1925",1925-12-24,"Not Rated","66 min","Drama, History, Thriller","Sergei Eisenstein","None, Russian, English","Soviet Union",7.9,60398,"tt0015648","$51,198"
"Battleship Potemkin","1925",1925-12-24,"Not Rated","66 min","Drama, History, Thriller","Sergei Eisenstein","None, Russian, English","Soviet Union",7.9,60398,"tt0015648","$51,198"
"Battleship Potemkin","1925",1925-12-24,"Not Rated","66 min","Drama, History, Thriller","Sergei Eisenstein","None, Russian, English","Soviet Union",7.9,60398,"tt0015648","$51,198"
"The Gold Rush","1925",1925-07-13,"Passed","95 min","Adventure, Comedy, Drama","Charles Chaplin","None, English","United States",8.1,115941,"tt0015864","N/A"
"The Gold Rush","1925",1925-07-13,"Passed","95 min","Adventure, Comedy, Drama","Charles Chaplin","None, English","United States",8.1,115941,"tt0015864","N/A"
"Go West","1925",1925-11-01,"Not Rated","69 min","Comedy, Western","Buster Keaton","None, English","United States",7.1,4808,"tt0015863","N/A"
"Go West","1925",1925-11-01,"Not Rated","69 min","Comedy, Western","Buster Keaton","None, English","United States",7.1,4808,"tt0015863","N/A"
"The Freshman","1925",1925-09-20,"Not Rated","77 min","Comedy, Family, Romance","Fred C. Newmeyer, Sam Taylor","None, English","United States",7.5,5911,"tt0015841","$1,392"
"The Freshman","1925",1925-09-20,"Not Rated","77 min","Comedy, Family, Romance","Fred C. Newmeyer, Sam Taylor","None, English","United States",7.5,5911,"tt0015841","$1,392"
"Seven Chances","1925",1925-03-15,"Passed","56 min","Comedy, Romance","Buster Keaton","None, English","United States",7.8,11424,"tt0016332","$210,748"
"Seven Chances","1925",1925-03-15,"Passed","56 min","Comedy, Romance","Buster Keaton","None, English","United States",7.8,11424,"tt0016332","$210,748"
"The Lost World","1925",1925-06-22,"Passed","110 min","Adventure, Fantasy, Sci-Fi","Harry O. Hoyt","English","United States",7,5652,"tt0016039","$1,194,450"
"The Lost World","1925",1925-06-22,"Passed","110 min","Adventure, Fantasy, Sci-Fi","Harry O. Hoyt","English","United States",7,5652,"tt0016039","$1,194,450"
"The Big Parade","1925",1925-12-03,"Not Rated","151 min","Drama, Romance, War","King Vidor, George W. Hill","None","United States",7.9,7089,"tt0015624","N/A"
"The Big Parade","1925",1925-12-03,"Not Rated","151 min","Drama, Romance, War","King Vidor, George W. Hill","None","United States",7.9,7089,"tt0015624","N/A"
"Strike","1925",NA,"Not Rated","82 min","Drama","Sergei Eisenstein","None","Soviet Union",7.6,8439,"tt0015361","N/A"
"Strike","1925",NA,"Not Rated","82 min","Drama","Sergei Eisenstein","None","Soviet Union",7.6,8439,"tt0015361","N/A"
"The Temptress","1926",1926-10-03,"Passed","62 min","Drama, Romance","Fred Niblo, Mauritz Stiller","None, English","United States",6.9,1320,"tt0017449","N/A"
"Flesh and the Devil","1926",1926-12-25,"Passed","112 min","Drama","Clarence Brown","English, German, Swedish","United States",7.6,4534,"tt0016884","N/A"
"Flesh and the Devil","1926",1926-12-25,"Passed","112 min","Drama","Clarence Brown","English, German, Swedish","United States",7.6,4534,"tt0016884","N/A"
"The General","1926",1927-01-02,"Passed","78 min","Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","None","United States",8.1,95867,"tt0017925","N/A"
"The General","1926",1927-01-02,"Passed","78 min","Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton","None","United States",8.1,95867,"tt0017925","N/A"
"For Heaven's Sake","1926",1926-04-05,"Passed","58 min","Action, Comedy, Romance","Sam Taylor","None, English","United States",7.5,1863,"tt0016895","$5,668,000"
"So's Your Old Man","1926",1926-10-25,"Passed","67 min","Comedy, Romance","Gregory La Cava","English","United States",6.5,216,"tt0017410","N/A"
"The Adventures of Prince Achmed","1926",1929-06-20,"Not Rated","80 min","Animation, Adventure, Family","Lotte Reiniger, Carl Koch","None","Germany",7.8,6612,"tt0015532","N/A"
"The Adventures of Prince Achmed","1926",1929-06-20,"Not Rated","80 min","Animation, Adventure, Family","Lotte Reiniger, Carl Koch","None","Germany",7.8,6612,"tt0015532","N/A"
"It","1927",1927-02-15,"Passed","72 min","Comedy, Romance","Clarence G. Badger, Josef von Sternberg","English","United States",7.2,3459,"tt0018033","$411,891"
"It","1927",1927-02-15,"Passed","72 min","Comedy, Romance","Clarence G. Badger, Josef von Sternberg","English","United States",7.2,3459,"tt0018033","$411,891"
"Metropolis","1927",1927-03-13,"Not Rated","153 min","Drama, Sci-Fi","Fritz Lang","German, English","Germany",8.3,181589,"tt0017136","$1,236,166"
"Metropolis","1927",1927-03-13,"Not Rated","153 min","Drama, Sci-Fi","Fritz Lang","German, English","Germany",8.3,181589,"tt0017136","$1,236,166"
"Metropolis","1927",1927-03-13,"Not Rated","153 min","Drama, Sci-Fi","Fritz Lang","German, English","Germany",8.3,181589,"tt0017136","$1,236,166"
"Napoleon","1927",1929-02-17,"N/A","330 min","Biography, Drama, History","Abel Gance","N/A","France",8.2,8325,"tt0018192","N/A"
"Napoleon","1927",1929-02-17,"N/A","330 min","Biography, Drama, History","Abel Gance","N/A","France",8.2,8325,"tt0018192","N/A"
"The Unknown","1927",1927-06-04,"Unrated","68 min","Drama, Horror, Romance","Tod Browning","None, English","United States",7.7,8707,"tt0018528","N/A"
"The Unknown","1927",1927-06-04,"Unrated","68 min","Drama, Horror, Romance","Tod Browning","None, English","United States",7.7,8707,"tt0018528","N/A"
"Sunrise","1927",1927-11-04,"Passed","94 min","Drama, Romance","F.W. Murnau","None, English","United States",8.1,52968,"tt0018455","N/A"
"Sunrise","1927",1927-11-04,"Passed","94 min","Drama, Romance","F.W. Murnau","None, English","United States",8.1,52968,"tt0018455","N/A"
"Sunrise","1927",1927-11-04,"Passed","94 min","Drama, Romance","F.W. Murnau","None, English","United States",8.1,52968,"tt0018455","N/A"
"The Kid Brother","1927",1927-01-17,"Passed","82 min","Comedy, Drama, Family","Ted Wilde, Harold Lloyd, Lewis Milestone","English","United States",7.6,4696,"tt0018051","$1,553,522"
"The Kid Brother","1927",1927-01-17,"Passed","82 min","Comedy, Drama, Family","Ted Wilde, Harold Lloyd, Lewis Milestone","English","United States",7.6,4696,"tt0018051","$1,553,522"
"Nevada","1927",1927-09-10,"N/A","70 min","Western","John Waters","None","United States",6.2,132,"tt0018199","N/A"
"My Best Girl","1927",1927-10-31,"Passed","80 min","Comedy, Romance","Sam Taylor","English","United States",7.4,912,"tt0018183","N/A"
"Wings","1927",1929-01-05,"PG-13","144 min","Drama, Romance, War","William A. Wellman, Harry d'Abbadie d'Arrast","English","United States",7.6,14011,"tt0018578","N/A"
"Wings","1927",1929-01-05,"PG-13","144 min","Drama, Romance, War","William A. Wellman, Harry d'Abbadie d'Arrast","English","United States",7.6,14011,"tt0018578","N/A"
"The Jazz Singer","1927",1928-02-04,"Passed","88 min","Drama, Music, Musical","Alan Crosland","English","United States",6.4,10768,"tt0018037","N/A"
"The Jazz Singer","1927",1928-02-04,"Passed","88 min","Drama, Music, Musical","Alan Crosland","English","United States",6.4,10768,"tt0018037","N/A"
"The Jazz Singer","1927",1928-02-04,"Passed","88 min","Drama, Music, Musical","Alan Crosland","English","United States",6.4,10768,"tt0018037","N/A"
"Downhill","1927",NA,"Not Rated","74 min","Adventure, Drama, Thriller","Alfred Hitchcock","English","United Kingdom",6,2903,"tt0017825","N/A"
"Downhill","1927",NA,"Not Rated","74 min","Adventure, Drama, Thriller","Alfred Hitchcock","English","United Kingdom",6,2903,"tt0017825","N/A"
"The Passion of Joan of Arc","1928",1928-10-25,"Passed","114 min","Biography, Drama, History","Carl Theodor Dreyer","None, French","France",8.1,58675,"tt0019254","$21,877"
"The Passion of Joan of Arc","1928",1928-10-25,"Passed","114 min","Biography, Drama, History","Carl Theodor Dreyer","None, French","France",8.1,58675,"tt0019254","$21,877"
"The Passion of Joan of Arc","1928",1928-10-25,"Passed","114 min","Biography, Drama, History","Carl Theodor Dreyer","None, French","France",8.1,58675,"tt0019254","$21,877"
"Speedy","1928",1928-05-04,"Passed","85 min","Action, Comedy, Family","Ted Wilde","None, English","United States",7.6,4114,"tt0019412","N/A"
"Speedy","1928",1928-05-04,"Passed","85 min","Action, Comedy, Family","Ted Wilde","None, English","United States",7.6,4114,"tt0019412","N/A"
"The Circus","1928",1928-01-29,"Passed","72 min","Comedy, Family, Romance","Charles Chaplin","None, English","United States",8.1,35375,"tt0018773","N/A"
"The Circus","1928",1928-01-29,"Passed","72 min","Comedy, Family, Romance","Charles Chaplin","None, English","United States",8.1,35375,"tt0018773","N/A"
"The Circus","1928",1928-01-29,"Passed","72 min","Comedy, Family, Romance","Charles Chaplin","None, English","United States",8.1,35375,"tt0018773","N/A"
"The Cameraman","1928",1928-09-22,"Passed","76 min","Comedy, Drama, Family","Edward Sedgwick, Buster Keaton","None, English","United States",8,12717,"tt0018742","N/A"
"The Cameraman","1928",1928-09-22,"Passed","76 min","Comedy, Drama, Family","Edward Sedgwick, Buster Keaton","None, English","United States",8,12717,"tt0018742","N/A"
"Steamboat Bill, Jr.","1928",1928-05-20,"Not Rated","70 min","Action, Comedy, Drama","Charles Reisner, Buster Keaton","English","United States",7.8,15695,"tt0019421","N/A"
"Steamboat Bill, Jr.","1928",1928-05-20,"Not Rated","70 min","Action, Comedy, Drama","Charles Reisner, Buster Keaton","English","United States",7.8,15695,"tt0019421","N/A"
"The Racket","1928",1928-11-01,"Passed","84 min","Crime, Drama, Film-Noir","Lewis Milestone","None, English","United States",6.6,1475,"tt0019304","N/A"
"The Racket","1928",1928-11-01,"Passed","84 min","Crime, Drama, Film-Noir","Lewis Milestone","None, English","United States",6.6,1475,"tt0019304","N/A"
"Beggars of Life","1928",1928-09-22,"Not Rated","84 min","Adventure, Crime, Drama","William A. Wellman","English","United States",7.5,1269,"tt0018684","N/A"
"The Power of the Press","1928",1928-10-31,"N/A","62 min","Drama","Frank Capra","None, English","United States",6.4,300,"tt0019290","N/A"
"A Girl in Every Port","1928",1928-02-26,"Passed","78 min","Action, Adventure, Comedy","Howard Hawks","None","United States",6.6,790,"tt0018937","N/A"
"The Patsy","1928",1928-03-10,"Not Rated","78 min","Comedy, Drama, Romance","King Vidor","None, English","United States",7.5,2728,"tt0019258","N/A"
"While the City Sleeps","1928",1928-09-15,"Passed","66 min","Action, Crime, Drama","Jack Conway","English","United States",6.5,255,"tt0019571","N/A"
"The Man Who Laughs","1928",1928-11-04,"Not Rated","110 min","Drama, Horror, Mystery","Paul Leni","English","United States",7.7,7706,"tt0019130","N/A"
"The Man Who Laughs","1928",1928-11-04,"Not Rated","110 min","Drama, Horror, Mystery","Paul Leni","English","United States",7.7,7706,"tt0019130","N/A"
"The Crowd","1928",1928-03-03,"Not Rated","98 min","Drama, Romance","King Vidor","None","United States",8.1,8917,"tt0018806","N/A"
"The Crowd","1928",1928-03-03,"Not Rated","98 min","Drama, Romance","King Vidor","None","United States",8.1,8917,"tt0018806","N/A"
"The Docks of New York","1928",1928-09-29,"Not Rated","76 min","Crime, Drama, Film-Noir","Josef von Sternberg","English","United States",7.5,4869,"tt0018839","N/A"
"The Docks of New York","1928",1928-09-29,"Not Rated","76 min","Crime, Drama, Film-Noir","Josef von Sternberg","English","United States",7.5,4869,"tt0018839","N/A"
"Our Dancing Daughters","1928",1928-09-01,"Not Rated","85 min","Drama","Harry Beaumont","English","United States",6.7,1904,"tt0019237","N/A"
"An Andalusian Dog","1929",1929-06-06,"Not Rated","16 min","Short, Fantasy, Horror","Luis Buñuel","French","France",7.6,52666,"tt0020530","N/A"
"The Cocoanuts","1929",1929-08-03,"Passed","96 min","Comedy, Musical, Romance","Robert Florey, Joseph Santley","English","United States",6.8,8059,"tt0019777","N/A"
"The Cocoanuts","1929",1929-08-03,"Passed","96 min","Comedy, Musical, Romance","Robert Florey, Joseph Santley","English","United States",6.8,8059,"tt0019777","N/A"
"The Cocoanuts","1929",1929-08-03,"Passed","96 min","Comedy, Musical, Romance","Robert Florey, Joseph Santley","English","United States",6.8,8059,"tt0019777","N/A"
"Welcome Danger","1929",1929-10-12,"Passed","113 min","Comedy","Clyde Bruckman, Malcolm St. Clair","English, Cantonese, German","United States",5.9,804,"tt0020572","N/A"
"Pandora's Box","1929",1930-02-22,"Not Rated","109 min","Crime, Drama, Romance","Georg Wilhelm Pabst","None, German","Germany",7.8,11499,"tt0018737","$53,485"
